,note_name,start_time,duration,velocity,chord
317,C5,45.325827814569536,0.1456953642384106,114,G-7
318,A#4,45.486092715231784,0.09668874172185431,115,G-7
319,A4,45.601324503311254,0.09271523178807947,102,G-7
320,A#4,45.71920529801324,0.07417218543046358,97,G-7
321,B4,45.81456953642384,0.1827814569536424,108,G-7
322,D5,46.007947019867544,0.0,92,Abo7
323,F5,46.05562913907284,0.17086092715231788,118,Abo7
324,F#5,46.2317880794702,0.06357615894039735,119,Abo7
325,G5,46.29536423841059,0.271523178807947,109,Abo7
326,F#5,46.57350993377483,0.17218543046357615,109,Abo7
327,F5,46.83576158940397,0.13774834437086092,118,Abo7
328,D5,47.00264900662251,0.1271523178807947,109,A-7
329,F#5,47.58145695364238,0.06357615894039735,106,A-7
330,G5,47.660927152317875,0.39470198675496687,99,A-7
331,F5,48.06357615894039,0.1695364238410596,112,D-7
332,D#5,48.368211920529795,0.052980132450331126,103,D-7
333,E5,48.423841059602644,0.18543046357615894,34,D-7
334,D5,48.611920529801324,0.17218543046357615,108,D-7
335,C5,48.87682119205298,0.2304635761589404,103,D-7
336,B4,49.12317880794701,0.1880794701986755,103,G7
337,G#4,49.39337748344371,0.02913907284768212,98,G7
338,A4,49.435761589403974,0.1695364238410596,99,G7
339,G4,49.61324503311258,0.17483443708609273,105,G7
340,A4,50.076821192052975,0.033112582781456956,108,G-7
341,G4,50.1205298013245,0.02913907284768212,100,G-7
342,F4,50.15099337748344,0.08741721854304636,99,G-7
343,G4,50.29933774834437,0.09536423841059603,110,G-7
344,A#4,50.41589403973509,0.11655629139072848,113,G-7
345,D5,50.54304635761589,0.09536423841059603,116,G-7
346,A4,50.664900662251654,0.13245033112582782,102,G-7
347,G4,50.80529801324503,0.0,94,G-7
348,C5,50.87947019867549,0.14304635761589404,117,G-7
349,B4,51.03046357615894,0.11920529801324503,108,C7
350,A#4,51.17350993377483,0.12980132450331125,107,C7
351,C5,51.313907284768206,0.09271523178807947,107,C7
352,G4,51.4569536423841,0.08874172185430464,95,C7
353,G#4,51.56953642384106,0.07947019867549669,106,C7
354,A4,51.667549668874166,0.12185430463576159,96,C7
355,C5,51.79735099337748,0.06357615894039735,89,C7
356,D5,51.87682119205298,0.16423841059602648,104,C7
357,C5,52.05430463576159,0.05562913907284768,98,Fj7
358,F5,52.12317880794701,0.1562913907284768,122,Fj7
359,G5,52.40397350993377,0.1695364238410596,115,Fj7
360,A5,52.626490066225166,0.1271523178807947,121,Fj7
361,B5,52.80662251655629,0.05562913907284768,112,Fj7
362,C6,52.87019867549669,0.2596026490066225,107,Fj7
363,A5,53.15364238410596,0.11655629139072848,115,Fj7
364,C5,53.3364238410596,0.48079470198675495,96,Fj7
365,A5,54.02913907284768,0.10860927152317881,118,Em7b5
366,A#5,54.15629139072848,0.10066225165562914,113,Em7b5
367,A5,54.27549668874172,0.14834437086092717,120,Em7b5
368,G5,54.442384105960265,0.08741721854304636,105,Em7b5
369,F5,54.54039735099337,0.10331125827814569,111,Em7b5
370,E5,54.654304635761584,0.11125827814569536,106,Em7b5
371,D5,54.792052980132446,0.10331125827814569,104,Em7b5
372,C#5,54.905960264900656,0.12980132450331125,97,Em7b5
373,E5,55.04635761589404,0.07947019867549669,105,A79b
374,G5,55.139072847682115,0.11920529801324503,98,A79b
375,A#5,55.34569536423841,0.04768211920529802,95,A79b
376,C6,55.41721854304635,0.1271523178807947,112,A79b
377,D6,55.557615894039735,0.02384105960264901,111,A79b
378,C6,55.602649006622514,0.05827814569536424,112,A79b
379,A#5,55.67417218543046,0.09801324503311258,113,A79b
380,C6,55.793377483443706,0.026490066225165563,102,A79b
381,A#5,55.83311258278145,0.06887417218543046,112,A79b
382,A5,55.901986754966885,0.1403973509933775,116,A79b
383,F5,56.068874172185424,0.11125827814569536,110,D-7
384,C#5,56.18013245033112,0.1403973509933775,103,D-7
385,E5,56.40264900662251,0.18013245033112582,108,D-7
386,C#5,56.601324503311254,0.05827814569536424,100,D-7
387,D5,56.678145695364236,0.12450331125827814,104,D-7
388,F5,56.847682119205295,0.18543046357615894,117,D-7
389,A#5,57.51920529801324,0.060927152317880796,95,Bm7b5
390,A5,57.58278145695364,0.0847682119205298,124,Bm7b5
391,G#5,57.680794701986756,0.07417218543046358,124,Bm7b5
392,C6,57.80264900662252,0.09801324503311258,118,Bm7b5
393,G5,58.019867549668874,0.07152317880794702,117,E7
394,F#5,58.1046357615894,0.07947019867549669,113,E7
395,F5,58.199999999999996,0.05562913907284768,104,E7
396,A#4,58.30331125827814,0.10066225165562914,107,E7
397,A5,58.52847682119205,0.07947019867549669,117,E7
398,G#5,58.610596026490065,0.07417218543046358,115,E7
399,G5,58.68476821192053,0.07947019867549669,111,E7
400,B5,58.830463576158934,0.10066225165562914,106,E7
401,F#5,59.07152317880795,0.05827814569536424,108,A7
402,E5,59.15894039735099,0.06887417218543046,103,A7
403,A4,59.29139072847681,0.09536423841059603,96,A7
404,C5,59.768211920529794,0.0423841059602649,102,A7
405,B4,59.81854304635762,0.03443708609271523,107,A7
406,A#4,59.86887417218543,0.09536423841059603,102,A7
407,A4,60.033112582781456,0.07152317880794702,106,D7
408,G4,60.10993377483443,0.1562913907284768,99,D7
409,F4,60.30331125827814,0.08741721854304636,100,D7
410,F#4,60.39602649006622,0.12980132450331125,93,D7
411,D#5,60.54569536423841,0.09006622516556291,106,D7
412,C5,60.662251655629134,0.10596026490066225,102,D7
413,C#5,60.8,0.09271523178807947,106,D7
414,D5,60.89801324503311,0.10860927152317881,108,D7
415,A#4,61.05430463576158,0.11655629139072848,110,G-7
416,A4,61.17350993377484,0.08741721854304636,99,G-7
